,품목고시 명칭에 따른 보조기기 영역,,
,,,
,연번,품목고시 명칭,보조기기 영역
,133,독립 기립형 리프트 플랫폼,EC
,134,독립형 변기 팔 지지대 및 등 지지대,ADL
,135,독서용 및 작업용 조명,ADL
,136,"독서용 탁자, 책상 및 기립형 책상",ADL
,137,독화 훈련용 보조기기,S
,138,돈의 이해 훈련용 보조기기,ADL
,139,동력보조형 미는 휠체어,WC
,140,동력형 보행차,WC
,141,들어올리기용 좌석 및 매트리스,ADL
,142,등 보조기,ADL
,143,등 지지대,SP
,144,등 충전물,ADL
,145,등-허리 보조기,ADL
,146,등-허리-엉치 보조기,ADL
,147,"뜨개질, 크로셰 뜨개질, 재봉 및 감침용 바늘",ADL
,148,라디오 수신기,S
,149,라운지 의자 및 안락 의자,"SP, ADL"
,150,라켓 스포츠용 보조기기,L
,151,로봇 조종기,ADL
,152,롤레이터(보행차),WC
,153,리프트용 벨트 및 조끼식 벨트,ADL
,154,마개 및 깔때기,ADL
,155,마이크,S
,156,말단 개방형 소변 주머니,ADL
,157,말단 폐쇄형 소변 주머니,ADL
,158,말하기 의사소통용 기기,AAC
,159,망원경,S
,160,매트리스 및 매트리스 커버,ADL
,161,머리 및 목 지지대,SP
,162,머리 보조기,ADL
,163,머리 보호용 보조기기,ADL
,164,머리감기용 보조기기,ADL
,165,머리카락 건조기,ADL
,166,"면도용 솔, 면도기, 전기면도기",ADL
,167,모스 통신 훈련용 보조기기,AAC
,168,모자류,ADL
,169,목 보조기,ADL
,170,"목공용 도구, 재료, 장비",L
,171,목-등 보조기,ADL
,172,목-등-허리-엉치 보조기,ADL
,173,목발,WC
,174,목욕 보드,ADL
,175,목욕 온도계,ADL
,176,목욕 의자,ADL
,177,"목욕용 들것, 샤워 테이블, 기저귀 교환 테이블",ADL
,178,목욕용 리프트(부착형 고정식 호이스트),ADL
,179,목욕용 미끄럼 방지용품,ADL
,180,목욕용 보호 덮개,ADL
,181,목욕용 의류,ADL
,182,목욕이나 샤워용 등 지지대,ADL
,183,목젖 지지대,ADL
,184,몸통 또는 전신 보호용 보조기기,ADL
,185,무동력 스쿠터,WC
,186,무동력 주입 장치,ADL
,187,무동력 칫솔,ADL
,188,무릎 또는 다리 보호용 보조기기,ADL
,189,무릎 보조기,ADL
,190,무릎 장치,ADL
,191,무릎관절,ADL
,192,무릎관절 의지,ADL
,193,무릎-발목-발 보조기,ADL
,194,무선 원격제어장치,CA
,195,"문자, 기호 세트, 의사소통 판",AAC
,196,문제해결 훈련용 보조기기,ADL
,197,문턱,EC
,198,물건 운반 및 쇼핑용 손수레,ADL
,199,물건을 고정 또는 옮기기 위하여 보행 보조기기에 부착되는 액세서리,WC
,200,미끄럼 및 회전을 위한 보조기기,ADL
,201,미끄럼 방지용품,ADL
,202,미끄럼방지 패드,ADL
,203,미는 휠체어,WC
,204,밀봉용 재료,ADL
,205,"바느질용 고리, 핀 쿠션 및 감침기",ADL
,206,바닥 걸레질 장비,ADL
,207,바닥 광택제,ADL
,208,바닥 깔개,EC
,209,바닥 및 계단용 촉각재료,"S, EC"
,210,바닥 특수 앉기 자세유지용 장치,"SP, ADL"
,211,바닥형 리프트(고정식 독립형 호이스트),ADL
,212,바퀴 달린 세탁용 바구니,ADL
,213,바퀴가 있거나 없는 샤워 의자,ADL
,214,바퀴달린 들것,"ADL, WC"
,215,바퀴달린 지팡이,WC
,216,반 수동 자전거,L
,217,"발 구동차, 놀이용 카트",L
,218,발 보조기,ADL
,219,발 의지,ADL
,220,발 추진 3륜 자전거 및 4륜 자전거,L
,221,발 추진 자전거,L
,222,발 추진 휠체어,WC
,223,발기용 보조기기,ADL
,224,"발꿈치, 발가락 또는 발 보호용 보조기기",ADL
,225,발목 의지,ADL
,226,발목관절,ADL
